folder_name,is_library
the-core-46,0
quarkise,1
zen-atlas-channel,1
javathunder,1
flux-digest-neutron,1
titanium88,1
dev_video,1
home-builder,0
system-cleanup-832,0
test-68,0
my-monitor-33,0
div-cleanup-130,0
yaml_db,1
nitro-callback,1
calendarapi,1
example17,0
thread-stream,1
anvil_pixel,1
admin-viewer,0
node-table,1
upru-fujapw,0
log_assistant,0
tome-log,1
config-backend,0
static41,0
searchtrace,1
mini-retina-crystal,1
autoinput,1
nanomsg@17.12.53,1
blitztree,1
autohammer,1
info_product,1
e2e_36,0
the-refactor-126,0
guides-12,0
packages/xxhash,1
new-worker-15,0
our-cleanup-689,0
spark-apex-formatter,1
mini_badge,1
prod-server-17,0
new-scanner-5,0
edgecart,1
quick_plot,1
@spark/schema,1
tests13,0
resultgui,1
grid-udp,1
nova-blaze-cli,1
hyper_toast,1
node_modules/pulumi,1
doc81,0
test23,0
@jest/utils,1
neobadge,1
node-observer,1
mapapi,1
js_transform,1
@langchain/koa,1
unigrid,1
gitpython-4.x,1
webimage,1
demos_50,0
@mui/express,1
platformdirs2,1
test-helper-40,0
.parcel-cache,0
card-lib,1
compress-metrics,1
dxr-txmto,0
toastkit,1
packages/react,1
block_lion,1
quicktoken,1
admin_client_31,0
detectorjs,1
wiki54,0
mapstore,1
project-analyzer,0
node_modules/cross-env,1
configuration_80,0
info_order,1
message-designer,0
turbo_data,1
chunk17,1
clevertable,1
datehash,1
encrypt-ws,1
utfheju-jlh,0
stellar53,1
tomejs,1
global_assistant_48,0
system_assistant,0
termcolor-2.x,1
@panther/mock,1
storm-js,1
gems/next-auth,1
node_modules/dagster,1
file_importr,0
encodegui,1
quantum-pool,1
lodash-1.x,1
turbomodal,1
easy-stellar,1
devbadge,1
e2e4,0
@octokit/checker,1
pg2,1
tests_41,0
super_chart_validator,1
querymetrics,1
http-cache,1
toast_io,1
@thunder/channel,1
nano-binary,1
hiakceww-fetyj,0
deploy_user,0
psycopg2-binary3,1
dns_smtp,1
modalor,1
user-builder,0
anvil.buffer,1
wwwroot72,0
jinzbqhk-wtjozyi,0
configuration60,0
encodecrypto,1
bolt92,1
samples_76,0
flux_schedule,1
cpr2,1
workerchannel,1
project_guide_27,0
screen_engine_19,0
module_engine_10,0
easynode,1
audio_formatter,1
session-socket,1
rb-cell-prana,1
team-sprint-310,0
calendaror,1
cuch-xibqrlko,0
magic-request,1
get-record,0
www61,0
@flux/ify,1
conf3,0
admin-editor,0
badgecrypto,1
tests_21,0
proto-badge-sso,1
go-transform,1
admin_server_48,0
multi_list_log,1
site-packages/libsodium,1
db-20,0
config_75,0
